"Txhash","Blockno","UnixTimestamp","DateTime","ParentTxFrom","ParentTxTo","ParentTxETH_Value","From","TxTo","ContractAddress","Value_IN(ETH)","Value_OUT(ETH)","CurrentValue @ $1155/Eth","Historical $Price/Eth","Status","ErrCode","Type","PrivateNote"
"0x83ad137f056d6aceb989349e982f238ae0a84e62225cdd75cc38415124d4a571","10618871","1596885713","2020-08-08 11:21:53","0x99fd1378ca799ed6772fe7bcdc9b30b389518962","0x6317c5e82a06e1d8bf200d21f4510ac2c038ac81","0","0x6317c5e82a06e1d8bf200d21f4510ac2c038ac81","0x99fd1378ca799ed6772fe7bcdc9b30b389518962","","0.490367183219354705","0","566.374096618355","397.56","0","","call",""
"0x1421dfd2544679c165e8febdac78ca69873a07763c837bd0df8ddd413614319e","10687090","1597793819","2020-08-18 23:36:59","0x99fd1378ca799ed6772fe7bcdc9b30b389518962","0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2","0","0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2","0x99fd1378ca799ed6772fe7bcdc9b30b389518962","","1.189048654925108954","0","1373.3511964385","422.38","0","","call",""
"0x6b6456129efc6da90ff1ad25a372bc42c6e38381a1b924313928056952c37786","10711148","1598113862","2020-08-22 16:31:02","0x99fd1378ca799ed6772fe7bcdc9b30b389518962","0x6317c5e82a06e1d8bf200d21f4510ac2c038ac81","0","0x6317c5e82a06e1d8bf200d21f4510ac2c038ac81","0x99fd1378ca799ed6772fe7bcdc9b30b389518962","","6.497547074746942237","0","7504.66687133272","395.46","0","","call",""
"0xa510b919b4425ac57bb0df6efa780d1aad68cd3461dc5fc4bd8d727819455170","10720515","1598237449","2020-08-24 02:50:49","0x99fd1378ca799ed6772fe7bcdc9b30b389518962","0x6317c5e82a06e1d8bf200d21f4510ac2c038ac81","0","0x6317c5e82a06e1d8bf200d21f4510ac2c038ac81","0x99fd1378ca799ed6772fe7bcdc9b30b389518962","","10.224910549619237661","0","11809.7716848102","408.03","0","","call",""
"0x52b25346387d60c526de43ec5ce71574852cbe40bcb2cec8aed9b40ce7d52996","10778461","1599004923","2020-09-02 00:02:03","0x99fd1378ca799ed6772fe7bcdc9b30b389518962","0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2","0","0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2","0x99fd1378ca799ed6772fe7bcdc9b30b389518962","","1355.117744540135181807","0","1565160.99494386","439.83","0","","call",""
"0x5b7ce6889a298f749f6a030c24d72f94607802a0db78307a457fa97b8fa9645a","10779933","1599024704","2020-09-02 05:31:44","0x99fd1378ca799ed6772fe7bcdc9b30b389518962","0x7a250d5630b4cf539739df2c5dacb4c659f2488d","15.897295840338508029","0x7a250d5630b4cf539739df2c5dacb4c659f2488d","0x99fd1378ca799ed6772fe7bcdc9b30b389518962","","0.027423477576706621","0","31.6741166010961","439.83","0","","call",""
"0x9b7cac0d5ccb2b40136a938585a68f481db94fa6c47ed2831492c838be94b88b","10780882","1599037387","2020-09-02 09:03:07","0x99fd1378ca799ed6772fe7bcdc9b30b389518962","0x7a250d5630b4cf539739df2c5dacb4c659f2488d","0","0x7a250d5630b4cf539739df2c5dacb4c659f2488d","0x99fd1378ca799ed6772fe7bcdc9b30b389518962","","14.912737524975744504","0","17224.211841347","439.83","0","","call",""
"0x1f0e87327d9ca8df226b4a098c4438fc406f3fc1516785cdc93339b81122d169","10780923","1599037903","2020-09-02 09:11:43","0x99fd1378ca799ed6772fe7bcdc9b30b389518962","0x7a250d5630b4cf539739df2c5dacb4c659f2488d","0","0x7a250d5630b4cf539739df2c5dacb4c659f2488d","0x99fd1378ca799ed6772fe7bcdc9b30b389518962","","17.350894404996841542","0","20040.2830377714","439.83","0","","call",""
"0x2bd31dee01744d9ea302c0ee1d6dfee34ed029a2d1208a82e17a15ac01e2f801","10782813","1599062888","2020-09-02 16:08:08","0x99fd1378ca799ed6772fe7bcdc9b30b389518962","0x7a250d5630b4cf539739df2c5dacb4c659f2488d","0","0x7a250d5630b4cf539739df2c5dacb4c659f2488d","0x99fd1378ca799ed6772fe7bcdc9b30b389518962","","678.558058588058823518","0","783734.557669208","439.83","0","","call",""
"0xe0cfaff1ee7fb008c32427365363daaaadeb7308ddb0b67526530a27eb02fc66","10782979","1599065027","2020-09-02 16:43:47","0x99fd1378ca799ed6772fe7bcdc9b30b389518962","0x7a250d5630b4cf539739df2c5dacb4c659f2488d","41.875186313782349065","0x7a250d5630b4cf539739df2c5dacb4c659f2488d","0x99fd1378ca799ed6772fe7bcdc9b30b389518962","","0.030453612113240105","0","35.1739219907923","439.83","0","","call",""
